host,category
193.42.36.98,only_manual
193.55.119.76,only_manual
194.11.226.149,only_manual
194.11.226.153,only_manual
194.11.226.184,only_manual
194.11.226.79,only_manual
194.11.226.84,only_manual
194.11.226.94,only_manual
194.146.47.32,only_manual
194.228.67.32,only_manual
194.242.46.192,only_manual
194.242.46.53,only_manual
194.242.46.58,only_manual
194.242.46.71,only_manual
194.54.185.79,only_manual
194.54.80.117,only_manual
194.54.80.118,only_manual
194.78.170.254,only_manual
194.87.73.156,only_manual
195.123.228.57,only_manual
195.141.44.43,only_manual
195.154.112.227,only_manual
195.154.32.247,only_manual
195.154.40.176,only_manual
195.154.46.14,only_manual
195.154.56.192,only_manual
195.154.60.252,only_manual
195.20.240.242,only_manual
198.144.158.145,only_manual
198.199.120.26,only_manual
198.20.165.134,only_manual
198.22.162.137,only_manual
198.252.106.103,only_manual
198.27.89.201,only_manual
198.37.112.222,only_manual
198.37.113.112,only_manual
198.37.113.201,only_manual
198.37.113.44,only_manual
198.37.114.131,only_manual
198.37.114.38,only_manual
198.37.115.61,only_manual
198.37.115.67,only_manual
198.50.158.46,only_manual
198.50.159.56,only_manual
198.50.172.232,only_manual
198.50.172.233,only_manual
198.72.120.16,only_manual
199.167.138.224,only_manual
199.167.138.99,only_manual
199.19.95.155,only_manual
199.19.95.166,only_manual
199.19.95.39,only_manual
199.192.23.249,only_manual
199.192.24.243,only_manual
199.192.27.82,only_manual
199.21.149.160,only_manual
199.21.149.177,only_manual
199.21.149.25,only_manual
199.21.149.26,only_manual
199.250.206.182,only_manual
20.109.80.24,only_manual
200.0.182.13,only_manual
2001:41d0:303:47af:5780:0:0:2230,only_manual
2001:41d0:304:200:0:0:0:3b56,only_manual
2001:41d0:304:200:0:0:0:bc53,only_manual
2001:41d0:701:1100:0:0:0:afc,only_manual
2001:470:1:281:0:0:b869:c033,only_manual
2001:8d8:834:c300:0:0:0:0,only_manual
2001:df1:7800:2:0:0:9:c172,only_manual
202.218.207.100,only_manual
205.134.252.189,only_manual
205.186.148.110,only_manual
206.196.117.84,only_manual
207.148.121.54,only_manual
207.148.125.110,only_manual
207.148.127.15,only_manual
207.2.121.121,only_manual
207.246.85.154,only_manual
207.38.82.238,only_manual
207.38.82.240,only_manual
207.38.82.249,only_manual
207.38.82.254,only_manual
207.38.89.195,only_manual
207.38.89.201,only_manual
207.7.84.116,only_manual
207.90.192.200,only_manual
207.90.193.101,only_manual
207.90.205.101,only_manual
207.90.205.103,only_manual
207.90.205.104,only_manual
207.90.207.60,only_manual
207.90.207.65,only_manual
208.110.70.74,only_manual
208.110.70.78,only_manual
208.112.120.79,only_manual
208.115.216.77,only_manual
208.115.216.78,only_manual
208.97.147.182,only_manual
208.99.66.102,only_manual
209.126.100.135,only_manual
209.126.100.203,only_manual
209.126.100.213,only_manual
209.126.100.226,only_manual
209.126.100.36,only_manual
209.126.109.103,only_manual
209.126.109.99,only_manual
209.126.127.115,only_manual
209.133.214.206,only_manual
209.135.168.206,only_manual
209.135.168.207,only_manual
209.135.170.9,only_manual
209.15.241.236,only_manual
209.182.204.234,only_manual
209.216.86.165,only_manual
209.44.100.76,only_manual
210.190.148.11,only_manual
212.129.10.207,only_manual
212.129.2.218,only_manual
212.129.32.156,only_manual
212.129.4.223,only_manual
212.129.6.17,only_manual
212.192.240.219,only_manual
212.224.88.79,only_manual
212.227.163.11,only_manual
212.234.27.12,only_manual
212.237.61.153,only_manual
212.34.136.119,only_manual
212.34.149.57,only_manual
212.34.155.22,only_manual
212.47.67.74,only_manual
212.7.209.19,only_manual
212.7.209.47,only_manual
212.83.129.106,only_manual
212.83.134.146,only_manual
212.83.138.182,only_manual
212.83.149.188,only_manual
212.83.150.125,only_manual
212.83.157.9,only_manual
212.83.162.24,only_manual
212.83.163.236,only_manual
212.83.165.230,only_manual
212.83.169.82,only_manual
212.83.171.209,only_manual
212.83.177.207,only_manual
212.83.179.156,only_manual
212.83.183.35,only_manual
212.83.183.75,only_manual
212.83.184.29,only_manual
212.83.191.157,only_manual
212.83.42.101,only_manual
212.83.42.102,only_manual
212.83.42.75,only_manual
212.87.221.213,only_manual
213.16.88.65,only_manual
213.166.70.78,only_manual
213.192.236.80,only_manual
213.21.220.4,only_manual
213.218.151.136,only_manual
213.3.47.178,only_manual
216.218.237.44,only_manual
216.244.84.222,only_manual
216.244.86.77,only_manual
216.245.194.216,only_manual
216.70.84.160,only_manual
216.92.133.173,only_manual
216.92.170.17,only_manual
216.92.170.247,only_manual
216.92.213.201,only_manual
216.92.222.93,only_manual
216.92.225.102,only_manual
216.92.74.98,only_manual
217.109.90.1,only_manual
217.109.90.4,only_manual
217.109.90.5,only_manual
217.109.90.6,only_manual
217.109.90.9,only_manual
217.160.178.245,only_manual
217.160.205.236,only_manual
217.182.84.90,only_manual
217.196.120.72,only_manual
218.211.89.228,only_manual
219.118.201.219,only_manual
220.99.126.101,only_manual
220.99.126.102,only_manual
220.99.126.103,only_manual
220.99.126.96,only_manual
220.99.126.97,only_manual
220.99.126.98,only_manual
223.29.236.213,only_manual
223.29.236.26,only_manual
223.29.236.74,only_manual
23.137.224.185,only_manual
23.165.104.89,only_manual
23.19.74.89,only_manual
23.21.106.251,only_manual
23.227.166.27,only_manual
23.229.17.86,only_manual
23.229.184.67,only_manual
23.231.76.115,only_manual
23.92.220.131,only_manual
23.92.220.133,only_manual
23.94.149.146,only_manual
23.94.245.154,only_manual
23.95.101.140,only_manual
24.119.67.210,only_manual
24.119.67.211,only_manual
24.119.67.212,only_manual
24.119.67.213,only_manual
24.234.50.171,only_manual
2400:8902:0:0:f03c:92ff:fe48:8963,only_manual
2600:3c01:0:0:f03c:91ff:fe69:fdbc,only_manual
2600:4c00:200:78:0:0:0:2d,only_manual
2600:4c00:300:89:0:0:0:98,only_manual
2600:4c00:300:b:0:0:0:304,only_manual
2600:4c00:400:7:0:0:0:8c,only_manual
27.102.101.118,only_manual
27.102.113.45,only_manual
27.102.114.76,only_manual
27.102.114.77,only_manual
27.102.115.137,only_manual
2a00:e00:0:0:0:0:0:136,only_manual
2a02:4780:10:bad0:0:0:0:1,only_manual
2a02:4780:f:201a:0:0:0:1,only_manual
2a03:f480:1:12:0:0:0:e0,only_manual
2a03:f480:1:21:0:0:0:23,only_manual
3.11.131.86,only_manual
3.12.120.180,only_manual
3.213.106.134,only_manual
3.226.177.195,only_manual
3.228.99.211,only_manual
31.220.0.128,only_manual
31.220.0.46,only_manual
31.220.44.2,only_manual
31.57.10.153,only_manual
31.57.10.167,only_manual
31.57.10.195,only_manual
31.57.10.74,only_manual
34.120.152.20,only_manual
34.138.165.91,only_manual
34.148.94.44,only_manual
34.198.137.23,only_manual
34.199.15.113,only_manual
34.216.207.83,only_manual
34.226.148.61,only_manual
34.231.27.31,only_manual
34.235.247.192,only_manual
34.45.207.226,only_manual
35.153.114.88,only_manual
35.155.154.169,only_manual
35.173.170.151,only_manual
35.176.110.43,only_manual
35.192.14.241,only_manual
35.227.218.128,only_manual
35.228.40.64,only_manual
35.230.97.189,only_manual
35.232.111.223,only_manual
37.1.201.237,only_manual
37.1.202.217,only_manual
37.1.202.234,only_manual
37.1.203.136,only_manual
37.1.203.76,only_manual
37.1.204.160,only_manual
37.1.205.173,only_manual
37.1.205.177,only_manual
37.1.207.147,only_manual
37.1.208.84,only_manual
37.1.209.89,only_manual
37.1.210.191,only_manual
37.1.210.197,only_manual
37.1.211.171,only_manual
37.1.211.225,only_manual
37.1.212.158,only_manual
37.1.212.184,only_manual
37.1.213.66,only_manual
37.1.214.107,only_manual
37.1.214.168,only_manual
37.1.218.199,only_manual
37.1.219.56,only_manual
37.1.220.233,only_manual
37.1.221.204,only_manual
37.114.50.217,only_manual
37.135.128.129,only_manual
37.156.246.54,only_manual
37.220.11.117,only_manual
37.252.14.205,only_manual
37.46.127.18,only_manual
37.48.112.78,only_manual
37.59.142.207,only_manual
37.59.84.48,only_manual
37.71.197.230,only_manual
37.72.169.198,only_manual
38.180.162.70,only_manual
38.180.168.193,only_manual
38.180.68.120,only_manual
38.242.207.172,only_manual
38.244.14.98,only_manual
38.91.107.168,only_manual
38.92.191.166,only_manual
38.92.191.168,only_manual
39.103.142.89,only_manual
4.71.44.213,only_manual
40.0.253.85,only_manual
40.89.153.212,only_manual
41.185.14.201,only_manual
43.252.228.12,only_manual
44.193.143.69,only_manual
44.212.26.204,only_manual
44.213.163.254,only_manual
44.214.60.230,only_manual
44.217.5.54,only_manual
44.229.68.166,only_manual
44.236.179.120,only_manual
44.237.208.226,only_manual
44.240.149.16,only_manual
45.125.193.44,only_manual
45.125.193.74,only_manual
45.125.194.117,only_manual
45.125.194.197,only_manual
45.128.206.239,only_manual
45.128.233.49,only_manual
45.128.233.51,only_manual
45.136.48.173,only_manual
45.137.20.45,only_manual
45.137.212.121,only_manual
45.138.180.238,only_manual
45.142.237.180,only_manual
45.143.166.185,only_manual
45.145.52.104,only_manual
45.145.52.106,only_manual
45.145.52.107,only_manual
45.145.52.108,only_manual
45.145.52.109,only_manual
45.153.128.21,only_manual
45.153.128.22,only_manual
45.154.240.78,only_manual
45.159.188.117,only_manual
45.227.252.239,only_manual
45.58.43.214,only_manual
45.64.216.20,only_manual
45.76.176.79,only_manual
45.76.183.102,only_manual
45.76.188.205,only_manual
45.8.46.140,only_manual
45.8.46.143,only_manual
45.82.70.78,only_manual
45.83.122.210,only_manual
45.86.163.97,only_manual
45.88.200.105,only_manual
45.91.92.106,only_manual
45.92.110.65,only_manual
46.101.200.252,only_manual
46.105.124.124,only_manual
46.105.245.216,only_manual
46.105.58.156,only_manual
46.105.61.95,only_manual
46.161.14.95,only_manual
46.166.185.144,only_manual
46.183.223.174,only_manual
46.19.141.39,only_manual
46.22.128.229,only_manual
46.22.128.87,only_manual
46.246.117.131,only_manual
47.236.239.83,only_manual
47.252.42.149,only_manual
47.252.42.63,only_manual
49.12.241.128,only_manual
5.135.109.4,only_manual
5.149.248.10,only_manual
5.149.248.200,only_manual
5.149.248.216,only_manual
5.181.87.101,only_manual
5.188.211.131,only_manual
5.189.128.151,only_manual
5.196.160.234,only_manual
5.223.51.148,only_manual
5.230.207.253,only_manual
5.230.207.27,only_manual
5.230.208.120,only_manual
5.230.208.122,only_manual
5.230.208.58,only_manual
5.230.208.96,only_manual
5.230.211.87,only_manual
5.230.211.89,only_manual
5.230.213.93,only_manual
5.39.7.25,only_manual
5.45.64.108,only_manual
5.45.64.117,only_manual
5.45.64.9,only_manual
5.45.67.205,only_manual
5.45.67.95,only_manual
5.45.71.143,only_manual
5.45.76.151,only_manual
5.45.76.227,only_manual
5.45.77.21,only_manual
5.45.78.144,only_manual
5.45.78.58,only_manual
5.45.78.59,only_manual
5.45.85.228,only_manual
5.45.87.88,only_manual
5.61.35.186,only_manual
5.61.37.197,only_manual
5.61.44.43,only_manual
5.61.60.205,only_manual
5.61.61.205,only_manual
5.61.62.118,only_manual
50.115.166.152,only_manual
50.16.191.15,only_manual
50.17.243.134,only_manual
50.17.72.178,only_manual
50.190.21.67,only_manual
50.206.112.40,only_manual
50.228.97.128,only_manual
50.3.139.172,only_manual
50.62.185.8,only_manual
51.15.11.114,only_manual
51.15.145.33,only_manual
51.15.145.83,only_manual
51.158.146.226,only_manual
51.158.20.167,only_manual
51.158.21.183,only_manual
51.158.22.138,only_manual
51.158.26.143,only_manual
51.158.26.33,only_manual
51.158.42.15,only_manual
51.159.0.39,only_manual
51.159.94.47,only_manual
51.161.137.21,only_manual
51.161.72.244,only_manual
51.174.191.170,only_manual
51.178.82.166,only_manual
51.195.243.106,only_manual
51.210.103.159,only_manual
51.210.112.231,only_manual
51.210.4.68,only_manual
51.254.100.234,only_manual
51.38.190.63,only_manual
51.38.226.75,only_manual
51.38.41.122,only_manual
51.38.49.186,only_manual
51.38.67.254,only_manual
51.75.248.64,only_manual
51.77.241.239,only_manual
51.77.241.254,only_manual
51.79.61.137,only_manual
51.79.61.73,only_manual
52.13.58.231,only_manual
